"bref_id_mlb","lon","lat"
"mannke01",-118.4911912,34.0194543
"manonra01",-69.9312117,18.4860575
"manrifr01",-63.5535552,8.0882791
"mantoje01",-74.8518311,40.1006661
"manueba01",-92.4192993,30.6338092
"manuech01",-81.4401034,37.420948
"manueje01",-83.3726575,30.9913064
"manwaki01",-76.8077338,42.0897965
"manzajo01",-69.2996732,18.4720698
"manzara01",-69.2996732,18.4720698
"marakpa01",0.521854,52.413917
"marenle01",-83.0457538,42.331427
"maronlo01",-117.1610838,32.715738
"marqugo01",-63.2562482,10.6429802
"marquis01",-109.4437493,27.0727573
"marreor01",-66.1659674,18.3691963
"marshda01",-118.0831212,33.8658484
"marshke01",-122.4194155,37.7749295
"marshmi01",-84.0371659,41.8975471
"marshmi02",-87.9531303,42.2830786
"marshto01",-83.555212,41.6639383
"martial02",-118.2436849,34.0522342
"martial03",-117.9389526,34.0686208
"martibu01",-122.3916754,40.5865396
"martica01",-66.2676683,18.4588347
"martica02",-66.9213628,10.587508
"martich01",-88.4016041,17.5677679
"martida01",-74.0059413,40.7127837
"martide01",-85.9560005,11.9344073
"martido02",-69.9312117,18.4860575
"martied01",-74.0059413,40.7127837
"martige01",-84.2326876,32.0723861
"martije01",-81.0348144,34.0007104
"martijo04",-81.2133262,23.0365513
"martijo05",-83.1499239,42.2142064
"martima01",-82.345189,23.0540698
"martimi01",-122.6764816,45.5230622
"martino01",-69.2996732,18.4720698
"martipa03",-69.7912411,18.9436472
"martipe03",-69.8954771,18.5387701
"martira02",-69.9312117,18.4860575
"martire01",-75.5243682,39.158168
"martisi01",-70.6930568,19.4791963
"martite01",-71.1024076,18.2120807
"martiti01",-103.5438321,37.9850091
"martiti02",-82.4571776,27.950575
"martito01",-81.0174917,22.7686569
"martzga01",-117.4260466,47.6587802
"martzra01",-76.8867008,40.2731911
"marzajo01",-75.1652215,39.9525839
"mashocl01",-122.0310733,37.9779776
"mashoda01",-66.6140616,18.0110768
"masondo01",-71.0588801,42.3600825
"masonji01",-88.0398912,30.6953657
"masonmi01",-93.268827,44.2949636
"masonro01",-85.2111728,44.9802822
"masteda01",-83.555212,41.6639383
"matavi01",-70.6930568,19.4791963
"matchto01",-75.9746472,40.9584181
"mathegr01",-118.2965084,33.7906551
"mathene01",-90.2012239,38.4436637
"mathete01",-92.4451371,31.3112936
"mathiro01",-94.5785667,39.0997265
"matiajo01",-157.8583333,21.3069444
"matlajo01",-75.6054882,39.9606643
"matosfr01",-69.9312117,18.4860575
"matthga01",-6.1965948,36.4718646
"mattido01",-87.5710898,37.9715592
"matulri01",-96.1027371,29.3116366
"matusle01",-83.555212,41.6639383
"maurero01",-87.5710898,37.9715592
"mauseti01",-97.3307658,32.7554883
"maxiela01",-117.6483876,34.09751
"maybejo01",-83.0457538,42.331427
"mayca01",-86.80249,33.5206608
