"bref_id","lon","lat"
"abreu-009jos",-80.4437781,22.1599753
"ackley001dus",-80.244216,36.0998596
"adams-001aus",-86.2999689,32.3668052
"adams-001mat",-78.2205688,40.8964465
"adrian001ehi",-66.6168821,10.4662629
"ahmed-000nic",-72.589811,42.1014831
"albers001mat",-95.3698028,29.7604267
"alburq001alb",-69.2996732,18.4720698
"alcant003ari",-69.9312117,18.4860575
"alfaro001jor",-75.3905567,9.3045773
"allen-003cod",-81.3792365,28.5383355
"almont000mig",-70.6930568,19.4791963
"almont001abr",-69.9312117,18.4860575
"alonso001yon",-82.345189,23.0540698
"alther001aar",7.5709052,49.4141464
"altuve001jos",-67.6066164,10.2441931
"alvare001dar",-70.6930568,19.4791963
"alvare001ped",-69.9312117,18.4860575
"alvare002hen",-67.9972104,10.1579312
"alvare009jos",-64.67768,10.1445691
"anders001bre",-102.0779146,31.9973456
"anders001cod",-120.9471764,39.9368363
"anders001tyl",-115.1398296,36.1699412
"anders003tim",-87.5691735,33.2098407
"anders011cha",-98.4933873,33.9137085
"andrie001mat",-117.1825381,34.0555693
"andrus001elv",-67.6066164,10.2441931
"aoki--001nor",131.6239652,32.4229442
"appel-001mar",-95.3698028,29.7604267
"araujo001elv",-71.7147951,10.6544509
"archer001chr",-78.6381787,35.7795897
"arcia-000orl",-64.4674203,9.4292297
"arcia-001osw",-64.4674203,9.4292297
"arenad001nol",-117.9289469,33.6189101
"armstr001sha",-77.0441143,35.108493
"arriet001jak",-90.4217895,37.7808846
"asher-001ale",-81.9498042,28.0394654
"avila-001ale",-80.2781057,25.8575963
"avilan001lui",-66.9511459,10.5004352
"axford001joh",-80.3040424,42.8372632
"aybar-001eri",-70.3301173,18.2854798
"baez--000jav",-66.1659674,18.3691963
"baez--002ped",-70.3301173,18.2854798
"bailey001dav",-96.876647,29.9055033
"banuel001man",-103.485862,25.5891476
"barnes000aus",-117.3961564,33.9533487
"barnes001mat",-73.4540111,41.394817
"barnes002jac",-82.6267345,27.7518284
"barney001dar",-122.6764816,45.5230622
"barnha001tuc",-86.158068,39.768403
"barrac000kyl",-121.9552356,37.3541079
"bassit000chr",-83.555212,41.6639383
"bastar001ant",-69.2549736,18.7635428
"bauer-000tre",-118.3812562,34.187044
"bauman001geo",-87.6297982,41.8781136
"bautis001jos",-69.9312117,18.4860575
"beck--002chr",-83.4571057,34.203997
