"bref_id","lon","lat"
"nunez-002edu",-69.9312117,18.4860575
"nuno--001vid",-117.0991967,32.6781085
"oberg-000sco",-71.2342248,42.6106478
"oberho001bre",-75.6599296,39.6651122
"obrien005pet",-80.2781057,25.8575963
"oday--001dar",-81.655651,30.3321838
"odor--002rou",-71.7147951,10.6544509
"odoriz001jac",-89.5270306,38.6106042
"ogrady000chr",-73.9454159,41.150651
"ohlend001cur",-97.7430608,30.267153
"okert-001ste",-117.3961564,33.9533487
"oliver000hec",-75.8301537,20.01693
"orourk001rya",-71.8022934,42.2625932
"ortega002raf",-64.2329738,8.8819995
"ortiz-001dav",-69.9312117,18.4860575
"osich-001jos",-116.2146068,43.6187102
"osuna-002rob",-108.8207876,25.7597559
"otero-001dan",-80.1917902,25.7616798
"ottavi001ada",-74.0059413,40.7127837
"owens-002hen",-117.8531119,33.7877944
"owings001chr",-79.9310512,32.7764749
"ozuna-002mar",-69.9312117,18.4860575
"pagan-002ang",-66.0404057,18.3894791
"panik-000joe",-73.8987469,40.9312099
"papelb001jon",-91.1403196,30.4582829
"park--000byu",11.9351673,47.2042437
"parker002jar",-85.1393513,41.079273
"parker003jar",-77.1542684,38.7188716
"parmel001chr",-118.1937395,33.7700504
"parra-001ger",-71.9104934,9.0018952
"parra-001man",-121.3282843,38.617127
"patton000spe",-88.2072697,40.1105875
"paxton001jam",-123.0819988,49.0900961
"pazos-001jam",-111.789027,33.3528264
"peacoc001bra",-80.0364297,26.7056206
"pearce002ste",-81.9498042,28.0394654
"peavy-001jac",-88.0398912,30.6953657
"peders001joc",-122.1430195,37.4418834
"pedroi001dus",-121.7732971,38.6785157
"pelfre001mic",-84.0484601,39.8185883
"pena--001ari",-70.7807769,18.4452109
"pena--001bra",-82.345189,23.0540698
"pena--005fra",-70.6930568,19.4791963
"pence-001hun",-97.3307658,32.7554883
"pennin001cli",-97.396381,27.8005828
"peralt001jho",-70.6930568,19.4791963
"peralt001sen",-67.9972104,10.1579312
"peralt001wil",-69.3324518,19.2080704
"peraza004jos",-70.2371045,8.6231498
"perdom001lui",-70.1030668,18.4188797
"perez-001oli",-107.3940117,24.8090649
"perez-001sal",-67.9972104,10.1579312
"perez-003wil",-69.1804708,9.5503646
"perez-008rob",-67.1451517,18.2013463
"perez-010car",-67.9972104,10.1579312
"perez-011mar",-69.7286928,9.0371279
"perkin001gle",-93.0899578,44.9537029
"peters002jac",-93.2173758,30.2265949
"petit-001yus",-71.7147951,10.6544509
"petric001jac",-87.7808967,42.09975
"pham--001tho",-115.1398296,36.1699412
"phegle001jos",-87.4139092,39.4667034
"phelps001dav",-90.1994042,38.6270025
"philli000bre",-82.7912134,27.8397466
"philli001bra",-78.6381787,35.7795897
"philli001zac",-121.4943996,38.5815719
"pierzy001ant",-72.3009158,40.9378777
"pillar000kev",-118.6439809,34.1973122
"pinder000bra",-117.5664384,33.8752935
"pineda001mic",-70.1798134,18.3360102
"pirela001jos",-70.6032995,9.3191109
"piscot001ste",-121.8746789,37.6624312
"plawec000kev",-87.9370052,41.8008642
"plouff001tre",-118.6439809,34.1973122
"polanc001gre",-69.9312117,18.4860575
"polanc001jor",-69.2996732,18.4720698
"polloc001aj-",-72.3659161,41.6578767
"pomera001tho",-89.6645266,35.042036
"pompey001dal",-79.6441198,43.5890452
"porcel001ric",-74.4815438,40.7967667
"posey-001bus",-84.1707423,31.7321156
"powell000her",-117.7946942,33.6839473
"prado-002mar",-67.6066164,10.2441931
"pressl002rya",-96.7969879,32.7766642
"price-004dav",-86.39027,35.8456213
"profar001jur",-68.8824233,12.1224221
"puig--000yas",-80.4437781,22.1599753
"pujols001jos",-69.9312117,18.4860575
"putnam001zac",-83.1338214,42.680588
"quacke000kev",-82.4575938,28.2188992
"qualls001cha",-118.3150722,33.7922392
"quinta001jos",-75.347308,10.252471
"raburn001rya",-82.4571776,27.950575
"ramire001han",-69.3324518,19.2080704
"ramire001nei",-75.977985,36.8529263
"ramire002era",-85.684578,11.402349
"ramire005ale",-83.6880257,22.4133651
"ramire014jos",-70.3301173,18.2854798
"ramos-001wil",-67.9972104,10.1579312
"ramos-002ale",-101.8551665,33.5778631
"rasmus001col",-84.9877094,32.4609764
"rasmus001cor",-84.9877094,32.4609764
